ingredientId, ingredientName
1, Sugar
2, Salt
3, Eggs
4, Flour
5, Water
6, Milk
7, Butter
8, Baking powder
9, Vanilla extract
10, Olive oil
11, Garlic
12, Onion
13, Tomato
14, Pepper
15, Cheese
16, Chicken breast
17, Ground beef
18, Rice
19, Pasta
20, Bread crumbs
21, Lemon
22, Soy sauce
23, Ginger
24, Cinnamon
25, Honey
26, Nutmeg
27, Brown sugar
28, Yeast
29, Cornstarch
30, Chocolate chips
31, Peanut butter
32, Almonds
33, Broccoli
34, Spinach
35, Carrots
36, Potatoes
37, Mushrooms
38, Bell pepper
39, Peas
40, Corn
41, Bacon
42, Sausage
43, Shrimp
44, Salmon
45, Tuna
46, Beef steak
47, Pork chops
48, Turkey
49, Oats
50, Quinoa
